timestep	volume	pressure	pair_lj_energy	pressure_xx	pressure_yy	pressure_zz	pressure_xy	pressure_yz	pressure_xz
23700	10000	0.2023412659	30.48129196	0.1927834032	0.2073577574	0.2068826372	0.002005883743	-0.003343268214	0.00608826772
23800	10000	0.193862638	27.27136102	0.1841627997	0.1938687238	0.2035563905	-0.005078110237	0.007417902787	0.009431826582
23900	10000	0.1921644673	29.0771964	0.2077347146	0.18596662	0.1827920673	0.003544029682	-0.002364299134	-0.003271985984
24000	10000	0.1882046108	27.93016037	0.1868107873	0.1805006023	0.197302443	-0.002263452581	-0.0006560502122	-0.01859185081
24100	10000	0.1962816459	27.97822921	0.1959552562	0.188225865	0.2046638166	-0.001450445084	0.006549678007	-0.001712241016
24200	10000	0.1771625903	29.71870888	0.1782165966	0.1706680435	0.1826031309	-0.02136429829	0.01164075675	0.00520993375
24300	10000	0.1852622263	21.27136713	0.1718008147	0.1954849342	0.1885009299	-0.006771525041	-0.004095236405	-0.005150380184
24400	10000	0.1889985572	15.62877087	0.1964020408	0.1923037307	0.1782899	-0.003416865667	-0.003510721845	-0.0001919631203
24500	10000	0.1907369904	24.40342679	0.1774916688	0.1925167446	0.2022025579	-0.01383362474	-0.007086565128	-0.000874809994
24600	10000	0.1936199056	35.2645835	0.1875475791	0.1949429613	0.1983691765	-0.003185980186	0.001792759903	0.003832070975
24700	10000	0.2040377571	21.97296128	0.1944640197	0.1953974984	0.222251753	0.002870177389	0.002877208228	-0.01071911107
24800	10000	0.1858251475	22.19322301	0.1837548084	0.19640934	0.1773112941	0.0009352717822	0.004297589111	-0.003751615564
24900	10000	0.1801484242	20.55190361	0.1773088277	0.1846271826	0.1785092623	0.006655619261	0.006909297757	-0.00495729855
25000	10000	0.1854422798	22.67039351	0.1717285729	0.1937971131	0.1908011535	-0.00591175694	-0.007491121371	-0.009433477588
25100	10000	0.1936166436	26.7210413	0.1985510037	0.2044509576	0.1778479694	-0.002098864874	-0.004018092671	0.0002534522961
25200	10000	0.1943887329	23.59052033	0.1916021617	0.2040152855	0.1875487516	0.005890361369	-0.001117046365	-0.003831981324
25300	10000	0.1968823482	29.6163108	0.1945834911	0.197384112	0.1986794415	0.01015517197	0.006329004301	0.004199599047
25400	10000	0.189413163	25.40315451	0.1885423109	0.1889839632	0.1907132149	-0.01216758545	0.008047778996	-0.001710096846
25500	10000	0.2025010436	24.73462246	0.2155143905	0.2004617245	0.1915270157	0.01353018432	0.005382618485	0.007365694295
25600	10000	0.1833138105	20.62753947	0.1772877951	0.1825767121	0.1900769243	-0.003407631803	0.003572850841	0.01760986502
25700	10000	0.178709861	31.65118359	0.1700388862	0.1797030934	0.1863876034	0.005286570008	-0.005708934815	0.01313190155
25800	10000	0.1810879245	18.10926696	0.1833350017	0.187425381	0.1725033907	0.002307603359	-0.003293824093	-0.005788775752
25900	10000	0.1854278931	21.22529795	0.1779445314	0.1838983186	0.1944408293	-0.003607534273	0.001976219997	-0.001558122273
26000	10000	0.1906139898	23.93960442	0.1947105396	0.1855413397	0.1915900901	0.002405107612	-0.00509193252	-0.008990404159
26100	10000	0.1912981169	22.24053899	0.188395749	0.1893138899	0.1961847117	-0.01161249627	-0.002896788437	-0.01040237922
26200	10000	0.2156306511	32.81605599	0.2236545337	0.1992601591	0.2239772606	-0.002652430313	-0.005798515378	0.02404633019
26300	10000	0.1924708124	31.7939823	0.1917357489	0.1977150578	0.1879616305	-0.0001889701993	-0.001314905107	-0.006320578201
26400	10000	0.1960550966	30.47307988	0.204509072	0.192222264	0.1914339538	-0.01204416431	-0.005537887808	0.001368658381
26500	10000	0.2019560236	28.15065707	0.1783863902	0.223067452	0.2044142286	-0.007958601574	0.007255620142	0.003760973581
26600	10000	0.185283459	27.9730943	0.2173541004	0.1734142675	0.1650820092	0.01733361172	-0.02379154268	0.0246677591
26700	10000	0.1884276642	20.93965136	0.1904481872	0.2006517915	0.174183014	-0.009639483871	-0.007464178493	0.002900795129
26800	10000	0.1923844906	31.78668347	0.1801334497	0.2030198205	0.1940002016	-0.008055235635	2.894947083e-05	0.01440787024
26900	10000	0.1863142802	18.4376687	0.1731018779	0.191739796	0.1941011665	0.0002490364782	-0.001308263407	0.004094694324
27000	10000	0.1856298416	21.44935116	0.1743303209	0.1904520913	0.1921071125	0.006935203119	-0.006273733706	0.01512836101
27100	10000	0.1950513591	25.44107788	0.1945099699	0.1713572921	0.2192868154	0.02392430529	-0.0189291347	0.007497196523
27200	10000	0.201302455	30.85589187	0.1952143003	0.1978169675	0.2108760971	0.006330107338	-0.003525320458	0.01493578815
27300	10000	0.1798929457	24.34227666	0.1773617976	0.2017341987	0.1605828407	-0.004336416566	-0.0009421345803	-0.001364339455
27400	10000	0.1811025929	23.2007702	0.176277754	0.1810620482	0.1859679765	0.003275102996	-0.01179490967	0.01688567538
27500	10000	0.2064096558	30.80592755	0.183026011	0.2173300245	0.2188729318	0.01447870987	0.002131764793	0.006037231359
27600	10000	0.1934271156	22.52844117	0.1844720913	0.2012485679	0.1945606875	0.009003197714	0.003381583752	0.01095895185
27700	10000	0.1970071132	24.51820472	0.1920773713	0.1895505379	0.2093934304	-0.002331152335	-0.005439371883	0.008118783272
27800	10000	0.1908712869	40.57307459	0.1820590786	0.1915208073	0.1990339749	0.002621827223	-0.01556031211	0.008255463756
27900	10000	0.1898996108	34.81600624	0.2063617436	0.1749600049	0.1883770839	-0.001831900842	-0.03412894647	0.004289414899
28000	10000	0.1997663314	20.52306686	0.2034508573	0.2024273251	0.1934208118	-0.009244224267	0.002496462502	-0.01485886752
28100	10000	0.1974501595	35.08646359	0.2114033428	0.1823118283	0.1986353073	0.002605931409	0.01196023843	-0.01855693777
28200	10000	0.1823753298	27.62421563	0.1774878886	0.181080968	0.1885571327	-0.008900955745	-0.005762528548	0.002544418467
28300	10000	0.1860788789	15.74645268	0.1824011843	0.1880255715	0.1878098807	0.004028399266	-0.005335558304	-0.003149278457
